name,min_price,max_price,headers,related_links,total_characteristics,char_Przekątna,char_Rozdzielczość,char_Matryca,char_Częstotliwość,char_Kontrast,char_Jasność,char_Złącza
Samsung Smart Monitor M70C 27,1877.0,2230.0,Samsung,2024 rok; Smart; smart; 4K; Power Delivery; HDR; głośniki; Bluetooth; Wi-Fi,7,"27 """,3840x2160 (16:9),"*VA, czas reakcji 4 ms",60 Hz,3 000:1,300 cd/m²,HDMI
Philips Evnia 32M2N6800M,3022.0,7264.0,Philips,2024 rok; Evnia; gamingowy; 4K; HDMI 2.1; HDR; Adaptive-Sync; dobry NTSC; dobry sRGB; dobry DCI-P3,7,"31.5 """,3840x2160 (16:9),"Mini LED IPS, czas reakcji 1 ms",144 Hz,1 000:1,700 cd/m²,"HDMI, DisplayPort"
LG UltraGear 32G810SA,2125.0,3266.0,LG,2025 rok; UltraGear (gamingowe); gamingowy; smart; 4K; HDMI 2.1; Power Delivery; HDR; Adaptive-Sync; FreeSync; głośniki; Bluetooth,7,"31.5 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",144 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Acer Nitro VG270Ebmiix,524.0,799.0,Acer,2024 rok; Nitro; gamingowy; FreeSync; głośniki,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",100 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
Philips 24B2N3200J,532.0,591.0,Philips,2025 rok; B series; TÜV Rheinland; Adaptive-Sync; głośniki; dobry sRGB,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",120 Hz,1 500:1,300 cd/m²,"VGA, HDMI, DisplayPort"
Hannspree HT240CUA,1758.0,1771.0,Hannspree,2025 rok; informacyjny; dotykowy; głośniki,7,"23.8 """,1920x1080 (16:9),"*VA, czas reakcji 6 ms",100 Hz,4 000:1,270 cd/m²,"VGA, HDMI, DisplayPort, USB C (wideo)"
Asus BE279QSK,1403.0,3149.0,Asus,głośniki; kamera internetowa,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
LG 27BA75QB,1115.0,1386.0,LG,2025 rok; Power Delivery; HDR; KVM; głośniki,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 5 ms",100 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Samsung Odyssey G32A 24,613.0,1263.0,Samsung,Odyssey; gamingowy; FreeSync,7,"24 """,1920x1080 (16:9),"*VA, czas reakcji 4 ms, MPRT 1 ms",165 Hz,3 000:1,250 cd/m²,"HDMI, DisplayPort"
LG UltraGear 27GP95RP,1858.0,2175.0,LG,2024 rok; UltraGear (gamingowe); gamingowy; 4K; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; dobry DCI-P3,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",144 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
LG UltraFine 27UL850,7009.0,,LG,UltraFine (do grafiki); 4K; HDR; FreeSync; głośniki,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
LG 27MP77HM,1123.0,,LG,MB/MP (matryca IPS); głośniki,7,"27 """,1920x1080 (16:9),"AH-IPS, czas reakcji 5 ms",75 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
HP M24fw,486.0,,HP,M-Series; FreeSync,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,300 cd/m²,"VGA, HDMI"
HP 524pu,915.0,1589.0,HP,2025 rok; USB C hub; Power Delivery; TÜV Rheinland; dobry sRGB,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",100 Hz,1 500:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
AOC Q27G42XE,599.0,950.0,AOC,2025 rok; gamingowy; HDR; Adaptive-Sync; głośniki; dobry sRGB,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 1 ms, MPRT 0.5 ms",180 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Samsung QM32C,1652.0,2399.0,Samsung,2024 rok; Panele LCD; monitor LCD; Bluetooth; Wi-Fi,7,"32 """,1920x1080 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,400 cd/m²,"HDMI, LAN"
AOC U3277Pqu,4629.0,,AOC,4K; głośniki,7,"32 """,3840x2160 (16:9),"AHVA, czas reakcji 4 ms",80 Hz,1 000:1,350 cd/m²,"VGA, DVI-D, HDMI"
Viewsonic VG3456C,2299.0,3013.0,Viewsonic,2024 rok; VG (zaawansowane); Power Delivery; zakrzywiony; TÜV Rheinland; głośniki; dobry sRGB,7,"34 """,3440x1440 (21:9),"*VA, czas reakcji 5 ms",100 Hz,3 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Gigabyte M32U,3100.0,3786.0,Gigabyte,gamingowy; 4K; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; KVM; głośniki; dobry sRGB,7,"32 """,3840x2160 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",144 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Acer Nitro ED340CURX0bmiipx,1199.0,1259.0,Acer,2025 rok; Nitro; gamingowy; HDMI 2.1; zakrzywiony; FreeSync; głośniki,6,"34 """,3440x1440 (21:9),"*VA, MPRT 1 ms",200 Hz,,250 cd/m²,"HDMI, DisplayPort"
Xiaomi Gaming Monitor G27i 2026,495.0,766.0,Xiaomi,2025 rok; gamingowy; HDR; TÜV Rheinland; FreeSync; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms",200 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
Asus TUF Gaming VG24VQ,1592.0,,Asus,TUF; gamingowy; zakrzywiony; FreeSync; głośniki,6,"24 """,1920x1080 (16:9),"*VA, czas reakcji 5 ms",144 Hz,3 000:1,,"HDMI, DisplayPort"
Iiyama G-Master GB2470HSU-W6,634.0,747.0,Iiyama,2024 rok; G-Master (gamingowe); gamingowy; Adaptive-Sync; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, MPRT 0.2 ms",180 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Eizo ColorEdge CG2420,6355.0,6481.0,Eizo,ColorEdge (dla projektantów); dobry AdobeRGB; dobry DCI-P3,7,"24 """,1920x1200 (16:10),"IPS, czas reakcji 10 ms",71 Hz,1 500:1,400 cd/m²,"DVI-D, HDMI, DisplayPort"
Corsair XENEON 315QHD165,1727.0,2523.0,Corsair,2024 rok; gamingowy; HDR; Adaptive-Sync; FreeSync,7,"31.5 """,2560x1440 (16:9),"IPS, czas reakcji 8 ms, MPRT 1 ms",165 Hz,1 200:1,300 cd/m²,"HDMI, DisplayPort"
Viewsonic VA2406-H,400.0,,Viewsonic,,7,"24 """,1920x1080 (16:9),"*VA, czas reakcji 4 ms",60 Hz,5 000:1,250 cd/m²,"VGA, HDMI"
Asus TUF Gaming VG34VQL3A,1329.0,2449.0,Asus,TUF; gamingowy; zakrzywiony; HDR; Adaptive-Sync; FreeSync; głośniki; dobry sRGB,7,"34 """,3440x1440 (21:9),"*VA, czas reakcji 1 ms",180 Hz,4 000:1,400 cd/m²,"HDMI, DisplayPort"
HP P174,2199.0,,HP,P-Series,7,"17 """,1280x1024 (5:4),"TN+film, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,VGA
Samsung S24C310E,449.0,577.0,Samsung,seria 3xx; TÜV Rheinland; FreeSync,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
Acer Nitro XZ271UP3bmiiphx,639.0,640.0,Acer,2024 rok; Nitro; gamingowy; zakrzywiony; HDR; FreeSync; głośniki,7,"27 """,2560x1440 (16:9),"*VA, MPRT 1 ms",180 Hz,3 000:1,300 cd/m²,"HDMI, DisplayPort"
Samsung S27A400UJ,895.0,,Samsung,seria 4xx; Power Delivery; FreeSync,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Asus TUF Gaming VG249QL3A,490.0,995.0,Asus,2024 rok; TUF; gamingowy; TÜV Rheinland; Adaptive-Sync; FreeSync; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms",180 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort"
Philips 16B1P3302,1205.0,1375.0,Philips,przenośny,7,"16 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",75 Hz,700:1,250 cd/m²,USB C (wideo)
MSI G242L E14,460.0,,MSI,2025 rok; gamingowy; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; dobry sRGB,7,"23.8 """,1920x1080 (16:9),"IPS, MPRT 1 ms",144 Hz,1 500:1,300 cd/m²,"HDMI, DisplayPort"
Fujitsu B2711 TS QHD,858.0,1032.0,Fujitsu,2024 rok; B (do biura); USB C hub; TÜV Rheinland; głośniki; dobry sRGB,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,350 cd/m²,"DVI, HDMI, DisplayPort"
LG UltraGear 32GS95UX,3969.0,4381.0,LG,2025 rok; UltraGear (gamingowe); gamingowy; 4K; OLED; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; głośniki; dobry DCI-P3,7,"31.5 """,3840x2160 (16:9),"OLED, czas reakcji 0.03 ms",240 Hz,1 500 000:1,275 cd/m²,"HDMI, DisplayPort"
NEC MultiSync ME651,4000.0,8060.0,NEC,monitor LCD; 4K; głośniki,7,"65 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,400 cd/m²,"HDMI, DisplayPort, LAN"
MSI MAG 272UP QD-OLED X24,4102.0,4678.0,MSI,2025 rok; gamingowy; 4K; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; dobry sRGB; dobry DCI-P3,7,"26.5 """,3840x2160 (16:9),"QD-OLED, czas reakcji 0.03 ms",240 Hz,1 500 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Eizo ColorEdge CS2400S,2849.0,4199.0,Eizo,2024 rok; ColorEdge (dla projektantów); Power Delivery; TÜV Rheinland; KVM; dobry sRGB; dobry AdobeRGB,7,"24.1 """,1920x1200 (16:10),"IPS, czas reakcji 19 ms",60 Hz,1 300:1,120 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
BenQ ST5501K,6999.0,,BenQ,monitor LCD; 4K; głośniki,6,"55 """,3840x2160 (16:9),,60 Hz,1 200:1,350 cd/m²,"VGA, DVI-D, HDMI, DisplayPort, LAN"
Viewsonic VX2718-PC-MHDJ,1334.0,1384.0,Viewsonic,VX (multimedialne); gamingowy; zakrzywiony; FreeSync; głośniki; dobry sRGB,7,"27 """,1920x1080 (16:9),"*VA, MPRT 1 ms",165 Hz,4 000:1,250 cd/m²,"HDMI, DisplayPort"
BenQ PD2700U,3453.0,,BenQ,PD (design i grafika); do grafiki; 4K; CalMAN; Pantone; głośniki; dobry sRGB,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 300:1,350 cd/m²,"HDMI, DisplayPort, mini DisplayPort"
Viewsonic TD1655,1199.0,1331.0,Viewsonic,TD (ekran dotykowy); przenośny; dotykowy; głośniki,7,"15.6 """,1920x1080 (16:9),"IPS, czas reakcji 7 ms",60 Hz,800:1,250 cd/m²,"Mini HDMI v 1.4, USB C (wideo)"
HP P24h G4,1158.0,1176.0,HP,P-Series,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
Asus ROG Strix XG259CMS,1499.0,1705.0,Asus,2024 rok; ROG Strix; gamingowy; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; dobry sRGB,7,"24.5 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms",310 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Philips 34B2U6603CH,2371.0,2693.0,Philips,2024 rok; B series; USB C hub; Power Delivery; zakrzywiony; HDR; Adaptive-Sync; KVM; głośniki; kamera internetowa; dobry NTSC; dobry sRGB,7,"34 """,3440x1440 (21:9),"*VA, czas reakcji 4 ms",120 Hz,4 000:1,450 cd/m²,"HDMI, DisplayPort, USB C (wideo), Thunderbolt, LAN"
Sharp ME552,4856.0,,Sharp,2024 rok; monitor LCD; 4K; głośniki,7,"55 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,450 cd/m²,"HDMI, USB C (wideo), LAN"
Cooler Master GA27FC,878.0,,Cooler Master,2025 rok; gamingowy; HDR; Adaptive-Sync; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",120 Hz,1 500:1,250 cd/m²,"VGA, HDMI"
LG UltraGear 24GQ50F,1003.0,,LG,UltraGear (gamingowe); gamingowy; FreeSync,7,"23.8 """,1920x1080 (16:9),"*VA, czas reakcji 5 ms, MPRT 1 ms",144 Hz,3 000:1,250 cd/m²,"HDMI, DisplayPort"
HP OMEN 27 G2,759.0,943.0,HP,2025 rok; OMEN; gamingowy; HDR; FreeSync,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms",180 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
MSI MPG 321CURX QD-OLED,4441.0,6265.0,MSI,2025 rok; gamingowy; 4K; QD-OLED; HDMI 2.1; Power Delivery; zakrzywiony; HDR; TÜV Rheinland; Adaptive-Sync; KVM; dobry sRGB; dobry DCI-P3,7,"31.5 """,3840x2160 (16:9),"QD-OLED, czas reakcji 0.03 ms",240 Hz,1 500 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Philips 275V8LA,629.0,855.0,Philips,TÜV Rheinland; Adaptive-Sync,7,"27 """,2560x1440 (16:9),"*VA, czas reakcji 4 ms",75 Hz,4 000:1,250 cd/m²,"HDMI, DisplayPort"
TCL 27R83U,2994.0,3530.0,TCL,2024 rok; gamingowy; 4K; QLED; HDMI 2.1; Power Delivery; HDR; Pantone; TÜV Rheinland; FreeSync; KVM; głośniki,6,"27 """,3840x2160 (16:9),"Mini LED QLED, czas reakcji 1 ms",160 Hz,4 000:1,,"HDMI, DisplayPort, USB C (wideo)"
NEC X464UN,20561.0,,NEC,ściana wizyjna,7,"46 """,1920x1080 (16:9),"*VA, czas reakcji 8 ms",85 Hz,3 500:1,700 cd/m²,"VGA, DVI-D, HDMI, LAN"
AOC AGON AG493UCX2,3818.0,4883.0,AOC,2024 rok; AGON; gamingowy; Power Delivery; zakrzywiony; HDR; Adaptive-Sync; FreeSync; KVM; głośniki; dobry NTSC; dobry sRGB,6,"49 """,5120x1440 (32:9),"*VA, MPRT 1 ms",165 Hz,3 000:1,,"HDMI, DisplayPort, USB C (wideo)"
Eizo FlexScan EV2360,1239.0,1440.0,Eizo,FlexScan (profesjonalne),7,"23 """,1920x1200 (16:10),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
Acer Vero B247Wbmiprzx,1027.0,,Acer,Vero; FreeSync,7,"24 """,1920x1200 (16:10),"IPS, czas reakcji 4 ms",60 Hz,1 000:1,300 cd/m²,"VGA, HDMI, DisplayPort"
Philips 55BDL3117P,7065.0,,Philips,2024 rok; monitor LCD; 4K; głośniki; czytnik kart pamięci,7,"54.6 """,3840x2160 (16:9),"*VA, czas reakcji 8 ms",60 Hz,5 000:1,750 cd/m²,"DVI, HDMI, DisplayPort, LAN"
Lenovo M14d,1116.0,1180.0,Lenovo,przenośny; Power Delivery; dobry sRGB,7,"14 """,2240x1400 (16:10),"IPS, czas reakcji 6 ms",60 Hz,1 500:1,300 cd/m²,USB C (wideo)
Dell UltraSharp U2724DE,1799.0,2571.0,Dell,2024 rok; UltraSharp; do grafiki; HDMI 2.1; USB C hub; Power Delivery; CalMAN; TÜV Rheinland; KVM; dobry sRGB; dobry DCI-P3,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 8 ms",120 Hz,2 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), Thunderbolt, LAN"
Viewsonic VX2758A-2K-PRO-3,899.0,1366.0,Viewsonic,2024 rok; VX (multimedialne); gamingowy; HDMI 2.1; HDR; FreeSync; dobry NTSC; dobry sRGB,7,"27 """,2560x1440 (16:9),"IPS, MPRT 1 ms",240 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Iiyama ProLite XU2793HSU-B4,1934.0,2584.0,Iiyama,głośniki,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",75 Hz,1 000:1,300 cd/m²,"VGA, HDMI, DisplayPort"
Gigabyte GS27F,589.0,725.0,Gigabyte,gamingowy; HDR; FreeSync; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",170 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Samsung QM65H,8690.0,11049.0,Samsung,Panele LCD; monitor LCD; 4K; głośniki,7,"65 """,3840x2160 (16:9),czas reakcji 8 ms,75 Hz,4 000:1,500 cd/m²,"DVI-D, HDMI, DisplayPort, LAN"
Iiyama ProLite LH6565UHSB-B1,5081.0,6460.0,Iiyama,2024 rok; monitor LCD; 4K; głośniki; Wi-Fi,7,"64.5 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,800 cd/m²,"HDMI, DisplayPort, LAN"
Dell P2723QE,1543.0,2625.0,Dell,Series P; 4K; Power Delivery,7,"26.96 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Asus VP227HE,443.0,624.0,Asus,TÜV Rheinland; Adaptive-Sync; FreeSync,7,"21.45 """,1920x1080 (16:9),"*VA, czas reakcji 5 ms",75 Hz,3 000:1,250 cd/m²,"VGA, HDMI"
Viewsonic TD2455,2529.0,,Viewsonic,TD (ekran dotykowy); dotykowy; głośniki; dobry sRGB,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 6 ms",60 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
AOC 27P2Q,653.0,964.0,AOC,Professional (profesjonalne); FreeSync; głośniki,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",75 Hz,1 000:1,250 cd/m²,"VGA, DVI-D, HDMI, DisplayPort"
Asus VZ27EHF,463.0,589.0,Asus,TÜV Rheinland; Adaptive-Sync,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",100 Hz,1 300:1,250 cd/m²,HDMI
Gigabyte S55U,6835.0,,Gigabyte,gamingowy; 4K; QLED; HDMI 2.1; HDR; FreeSync; głośniki; dobry sRGB,7,"54.6 """,3840x2160 (16:9),"QLED, czas reakcji 2 ms",120 Hz,5 000:1,500 cd/m²,"HDMI, LAN"
Samsung Odyssey G9 C49RG94S,9459.0,,Samsung,Odyssey; gamingowy; zakrzywiony; HDR; FreeSync,7,"48.8 """,5120x1440 (32:9),"*VA, czas reakcji 4 ms",120 Hz,3 000:1,600 cd/m²,"HDMI, DisplayPort"
ASRock Phantom Gaming PG27FFT1B,533.0,746.0,ASRock,2024 rok; gamingowy; HDR; FreeSync; głośniki; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",180 Hz,1 000:1,450 cd/m²,"HDMI, DisplayPort"
MSI PRO MP242,834.0,,MSI,PRO; TÜV Rheinland; głośniki,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
HP LA2306x,249.0,,HP,,6,"23 """,1920x1080 (16:9),"TN+film, czas reakcji 5 ms",,1 000:1,250 cd/m²,"VGA, DVI-D"
LC-Power LC-M27-FHD-144,818.0,871.0,LC-Power,gamingowy; Adaptive-Sync,7,"27 """,1920x1080 (16:9),"ADS-IPS, MPRT 1 ms",144 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Terra 3295W PV,1859.0,1878.0,Terra,2025 rok; 4K; Power Delivery; HDR; KVM; głośniki,6,"31.5 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
HP OMEN 27u,2657.0,,HP,OMEN; gamingowy; 4K; HDMI 2.1; HDR; FreeSync; głośniki,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",144 Hz,1 000:1,450 cd/m²,"HDMI, DisplayPort"
